Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,91,4,45,4.5121,-1.22132,-78.36650,133.0162
2014,91,10,49,24.4473,-1.22506,-78.43862,13.9536
2014,93,3,21,53.5900,-1.07530,-78.40075,10.2684
2014,93,8,50,7.0658,-1.01830,-78.42025,13.8441
2014,93,17,11,3.9437,0.05980,-78.37312,0.0258
2014,95,9,16,45.1955,0.35453,-78.40825,5.5875
2014,95,17,51,5.5527,-1.03466,-78.29525,12.2939
2014,96,0,59,8.2429,-2.32181,-79.23475,23.8410
2014,96,7,4,24.9718,0.31879,-78.36163,1.5252
2014,96,16,43,19.6103,0.25046,-78.39900,7.1879
2014,97,9,10,14.1352,0.15809,-78.68900,17.2757
2014,97,15,45,40.6492,-2.43826,-80.41550,43.4874
2014,98,0,53,22.2747,-1.16040,-79.49687,33.4671
2014,98,23,32,11.6152,-2.16313,-79.70963,85.2206
2014,99,1,13,27.0976,0.96186,-79.58525,20.1199
2014,99,9,37,7.9291,-2.23860,-79.99037,65.0935
2014,99,12,32,38.1260,0.29639,-78.29675,11.7753
2014,101,0,44,1.0434,-2.30431,-79.25775,23.2165
2014,101,5,53,26.4278,-2.26933,-79.25313,22.3551
2014,101,7,9,7.2239,0.30419,-78.32137,11.4252
2014,101,22,57,29.3981,0.32722,-78.27875,12.7751
2014,103,5,12,1.7662,-3.56286,-79.51562,59.9439
2014,104,6,11,53.3049,0.71936,-77.85938,21.2350
2014,104,8,52,9.2550,-3.02044,-79.05363,89.0545
2014,104,10,33,25.3800,-0.04225,-78.66487,10.2383
2014,104,22,32,13.0358,0.79913,-77.94637,6.9092
2014,105,8,5,41.1087,-1.01488,-78.02150,-4.7308
2014,105,8,15,38.8960,-1.03265,-78.33050,11.8189
2014,106,10,4,51.0394,-1.08512,-78.28425,7.9932
2014,106,14,14,27.4707,-0.02275,-78.67550,-4.4742
2014,106,16,37,11.0652,0.72868,-77.83613,25.7099
2014,107,1,32,16.3856,-0.13248,-78.39600,0.2757
2014,107,2,1,55.4963,0.54557,-79.24712,31.4239
2014,107,6,50,30.0097,-1.36963,-80.38975,-3.1238
2014,108,0,38,34.4176,-0.04251,-78.30350,12.4508
2014,108,23,37,35.7664,-2.27586,-79.73363,69.3424
2014,109,1,26,29.5346,-1.05556,-80.39388,21.7811
2014,109,8,11,28.1180,-0.08731,-78.32812,0.0258
2014,109,12,47,26.2678,0.24542,-78.76700,12.4754
2014,109,21,1,2.8014,0.71951,-78.97713,56.1350
2014,111,5,5,47.0180,-1.10425,-78.34775,14.0180
2014,111,20,41,56.6717,0.58397,-79.24100,52.7111
2014,112,2,52,28.7460,0.77875,-77.92113,13.6344
2014,112,9,42,50.7305,-2.26492,-79.24438,21.8552
2014,112,11,56,16.1908,-1.26710,-78.26325,14.4905
2014,113,12,35,42.7915,-1.21575,-78.40675,12.1413
2014,114,2,48,45.8333,-1.04988,-78.29725,10.4437
2014,115,0,22,38.2919,-1.04975,-78.21475,5.2687
2014,115,10,44,8.1153,-0.44043,-78.64400,18.7121
2014,115,16,33,54.1844,0.78692,-77.92137,0.2718
2014,116,9,29,23.7474,-1.02081,-78.32900,8.0566
2014,117,6,38,19.1938,-1.15296,-77.91387,20.8422
2014,117,12,5,28.6155,-2.26441,-79.24200,20.4302
2014,117,21,51,26.5067,-1.54824,-77.88563,20.2603
2014,118,11,58,25.2754,-2.29928,-79.23425,24.0042
2014,119,5,43,14.8577,-1.20077,-78.35250,11.4165
